structure,PC1,PC2,cluster_id,cluster_name,cluster_colour,cluster_hex_colour
bit_1,0.6507563770284862,1.395192805822495,1,2,orange,#ff7f00
bit_2,-3.4499960679536628,-0.316477245876107,2,3,pink,#f781bf
bit_3,-1.3741238472241624,2.338236094409688,1,2,orange,#ff7f00
bit_4,6.46682258549827,18.82368579204397,1,2,orange,#ff7f00
bit_5,-1.5842856042886435,1.0280844173663506,1,2,orange,#ff7f00
bit_6,-1.6773348580764391,0.7061690726940582,1,2,orange,#ff7f00
bit_7,-1.7432437304598487,1.0977169630637384,1,2,orange,#ff7f00
bit_8,1.450304220849348,4.663094590638253,1,2,orange,#ff7f00
bit_9,-1.7432437304598487,1.0977169630637384,1,2,orange,#ff7f00
bit_10,-0.672618061860114,3.637787304775201,1,2,orange,#ff7f00
bit_11,-1.7432437304598487,1.0977169630637384,1,2,orange,#ff7f00
bit_12,-1.7432437304598487,1.0977169630637384,1,2,orange,#ff7f00
bit_13,2.333954878490737,2.6248812309595824,1,2,orange,#ff7f00
bit_14,-1.7432437304598487,1.0977169630637384,1,2,orange,#ff7f00
bit_15,-1.2887608356929483,2.039977880487971,1,2,orange,#ff7f00
bit_16,-0.672618061860114,3.637787304775201,1,2,orange,#ff7f00
bit_17,-3.734658131361605,0.2119465543054744,3,4,blue,#8f81f7
bit_18,0.3445759691846306,3.5088585039777365,1,2,orange,#ff7f00
bit_19,-1.9213651481109129,-1.1237027509582291,2,3,pink,#f781bf
bit_20,-1.46649715823807,2.546518807308266,1,2,orange,#ff7f00
bit_21,-1.3085646455066584,2.4718402846549354,1,2,orange,#ff7f00
bit_22,-5.116980045229158,-1.9944613910919848,2,3,pink,#f781bf
bit_23,-4.780674302123326,-0.3179470704438616,3,4,blue,#8f81f7
bit_24,-3.4964109105981995,0.1619463713897408,2,3,pink,#f781bf
bit_25,-1.7432437304598487,1.0977169630637384,1,2,orange,#ff7f00
bit_26,-1.46649715823807,2.546518807308266,1,2,orange,#ff7f00
bit_27,-1.9814909512232544,1.1477171459794715,1,2,orange,#ff7f00
bit_28,0.3445759691846306,3.5088585039777365,1,2,orange,#ff7f00
bit_29,-3.4964109105981995,0.1619463713897408,2,3,pink,#f781bf
bit_30,-0.672618061860114,3.637787304775201,1,2,orange,#ff7f00
bit_31,-1.7432437304598487,1.0977169630637384,1,2,orange,#ff7f00
bit_32,-1.7432437304598487,1.0977169630637384,1,2,orange,#ff7f00
bit_33,-3.421664326041584,4.56362756725935,1,2,orange,#ff7f00
bit_34,-0.6883970734068003,6.597027625711005,1,2,orange,#ff7f00
bit_35,-5.420969985269682,2.2110934904365505,3,4,blue,#8f81f7
bit_36,-5.420969985269682,2.2110934904365505,3,4,blue,#8f81f7
bit_37,0.1722376208046367,3.167310796523785,1,2,orange,#ff7f00
bit_38,-2.0401703790817134,1.1651445559344251,1,2,orange,#ff7f00
bit_39,-0.2672877232033993,3.436472187294996,1,2,orange,#ff7f00
bit_40,-2.0536809093183823,1.1709095711915791,1,2,orange,#ff7f00
bit_41,-3.775842012948293,9.619903208104173,1,2,orange,#ff7f00
bit_42,-2.667261924634645,0.817898617277441,1,2,orange,#ff7f00
bit_43,1.6738558342933063,6.119025186457205,1,2,orange,#ff7f00
bit_44,-4.092586537529456,5.361682213451802,1,2,orange,#ff7f00
bit_45,-2.667261924634645,0.817898617277441,1,2,orange,#ff7f00
bit_46,-1.7432437304598487,1.0977169630637384,1,2,orange,#ff7f00
bit_47,1.1115102384470497,17.423528424188625,1,2,orange,#ff7f00
bit_48,3.874325709749979,4.560168317422418,1,2,orange,#ff7f00
bit_49,-4.3307819173607465,7.675778937835933,1,2,orange,#ff7f00
bit_50,-1.7432437304598487,1.0977169630637384,1,2,orange,#ff7f00
bit_51,16.346943158805068,-12.69739681435374,0,1,green,#4daf4a
bit_52,0.7163639734518366,4.154597319280839,1,2,orange,#ff7f00
bit_53,-2.7456384043091657,2.280835380260565,1,2,orange,#ff7f00
bit_54,1.8850197092292829,2.731143449060073,1,2,orange,#ff7f00
bit_55,-2.2368215206199293,-1.7330970719086238,2,3,pink,#f781bf
bit_56,-0.2817925847806011,3.9889055486687326,1,2,orange,#ff7f00
bit_57,0.7163639734518366,4.154597319280839,1,2,orange,#ff7f00
bit_58,-1.5311039370994266,-3.052099308381393,2,3,pink,#f781bf
bit_59,1.6738558342933063,6.119025186457205,1,2,orange,#ff7f00
